,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2017-06-05,78.97,79.2,78.61,0.612,78.75,78.49,2738234,20170605,0,0,0.7099999999999937,0.7099999999999937
2017-06-06,78.85,78.93,78.29,-0.152,78.46,78.97,2877993,20170606,1,1,0.6733333333333306,0.6724999999999974
2017-06-07,79.81,80.09,78.79,1.218,78.91,78.85,4284079,20170607,2,2,0.9024169184290001,0.9122071307300483
2017-06-08,79.95,80.2,79.67,0.175,79.71,79.81,4079817,20170608,3,3,1.0307800043094164,1.046140319071792
2017-06-09,80.31,80.73,79.73,0.45,80.39,79.95,3848413,20170609,4,4,1.0233984701315295,1.0341023804247562
2017-06-12,80.17,80.73,79.95,-0.174,80.35,80.31,3352279,20170612,0,5,0.9725929382122737,0.9753076198357793
2017-06-13,80.59,80.74,80.07,0.524,80.2,80.17,3174361,20170613,1,6,0.9160890712310343,0.9109728310545838
2017-06-14,80.84,80.92,79.62,0.31,80.11,80.59,4013089,20170614,2,7,0.9815088956667911,0.9870608168100453
2017-06-15,80.7,81.24,80.23,-0.173,80.38,80.84,2773369,20170615,3,8,0.986006359953373,0.9912844536643164
2017-06-16,81.45,81.48,80.77,0.929,80.86,80.7,5914676,20170616,4,9,0.9451711199163776,0.9419967645844514
2017-06-19,81.88,81.94,81.29,0.528,81.56,81.45,3076499,20170619,0,10,0.9864372842229886,0.9921145304918976
2017-06-20,82.51,82.81,81.8,0.769,81.98,81.88,3929088,20170620,1,11,1.03627846837326,1.0519016930372052
2017-06-21,82.21,82.8,81.99,-0.364,82.6,82.51,2683412,20170621,2,12,1.0213970946246143,1.0310734160962407
2017-06-22,82.28,82.62,82.08,0.085,82.08,82.21,2311970,20170622,3,13,0.9619899696523488,0.9553890873650317
2017-06-23,82.22,82.7,82.06,-0.073,82.39,82.28,3785322,20170623,4,14,0.9235052083523082,0.9077710894991619
2017-06-26,82.96,83.285,82.44,0.9,82.499,82.22,2491613,20170626,0,15,0.9329746527826033,0.9221962988522775
2017-06-27,83.08,83.52,83.01,0.145,83.06,82.96,2994829,20170627,1,16,0.9745700138835229,0.97741853862216
2017-06-28,83.97,84.265,83.4,1.071,83.51,83.08,3667871,20170628,2,17,1.0111967426435942,1.0246932859393711
2017-06-29,83.63,85.39,83.156,-0.405,84.92,83.97,5092624,20170629,3,18,1.1523493443435275,1.2081669021712935
2017-06-30,84.24,84.64,83.59,0.7290000000000001,84.09,83.63,3320821,20170630,4,19,1.1414203301777937,1.1857996160375222
