    ,timestamp ,open          ,high          ,low           ,close         ,open (USD).1  ,high (USD).1  ,low (USD).1   ,close (USD).1 ,volume         ,market cap (USD)  ,pre_close     ,p_change               ,pip_change
1903,2014-04-02,479.67961534  ,494.11133702  ,430.72590933  ,438.37782382  ,479.67961534  ,494.11133702  ,430.72590933  ,438.37782382  ,96314.58755168 ,42222179.29297322 ,479.0234337   ,-0.0848509843580122    ,-848.5098435801219
1902,2014-04-03,437.32208923  ,452.4414054   ,414.8111042   ,446.81975514  ,437.32208923  ,452.4414054   ,414.8111042   ,446.81975514  ,74292.74954889 ,33195468.16222008 ,438.37782382  ,0.019257204313935183   ,192.57204313935182
1901,2014-04-04,448.59714408  ,457.3271717   ,429.18411709  ,451.64599241  ,448.59714408  ,457.3271717   ,429.18411709  ,451.64599241  ,39267.66734771 ,17735084.58897259 ,446.81975514  ,0.010801306823347234   ,108.01306823347234
1900,2014-04-05,450.02779791  ,466.38546994  ,445.1077834   ,464.37932234  ,450.02779791  ,466.38546994  ,445.1077834   ,464.37932234  ,21574.14453682 ,10018586.62011181 ,451.64599241  ,0.028193164876886057   ,281.93164876886055
1899,2014-04-06,465.88879927  ,472.36598631  ,450.59741307  ,462.21579903  ,465.88879927  ,472.36598631  ,450.59741307  ,462.21579903  ,16624.90199963 ,7684292.36151955  ,464.37932234  ,-0.00465895703343977   ,-46.5895703343977
1898,2014-04-07,462.12175864  ,465.23847591  ,443.34249981  ,448.45264584  ,462.12175864  ,465.23847591  ,443.34249981  ,448.45264584  ,28631.52628784 ,12839883.71817693 ,462.21579903  ,-0.02977646635810194   ,-297.76466358101936
1897,2014-04-08,446.73871546  ,463.62650629  ,444.7773765   ,452.47466362  ,446.73871546  ,463.62650629  ,444.7773765   ,452.47466362  ,18306.71112114 ,8283322.95653997  ,448.45264584  ,0.008968656595762292   ,89.68656595762292
1896,2014-04-09,452.16979694  ,464.30514965  ,440.36643951  ,449.89217685  ,452.16979694  ,464.30514965  ,440.36643951  ,449.89217685  ,23268.96123972 ,10468523.62519942 ,452.47466362  ,-0.005707472655681833  ,-57.074726556818334
1895,2014-04-10,448.90053917  ,449.18903453  ,356.45547533  ,362.64713602  ,448.90053917  ,449.18903453  ,356.45547533  ,362.64713602  ,134882.3449919 ,48914696.11114684 ,449.89217685  ,-0.1939243341390412    ,-1939.243341390412
1894,2014-04-11,361.49387498  ,429.61364405  ,347.02732223  ,420.34919908  ,361.49387498  ,429.61364405  ,347.02732223  ,420.34919908  ,131394.41744535,55231538.13632628 ,362.64713602  ,0.15911352201280793    ,1591.1352201280793
