major     ,minor    ,usMCO                ,usMA                 ,usV                  ,usAXP
2017-06-12,close    ,117.19               ,120.76               ,93.5                 ,80.17
2017-06-12,high     ,117.22               ,122.09               ,94.04                ,80.73
2017-06-12,low      ,115.59               ,120.2                ,92.8                 ,79.95
2017-06-12,p_change ,0.317                ,-1.853               ,-1.121               ,-0.174
2017-06-12,open     ,116.55               ,121.98               ,93.69                ,80.35
2017-06-12,pre_close,116.82               ,123.04               ,94.56                ,80.31
2017-06-12,volume   ,588580.0             ,6573655.0            ,15609884.0           ,3352279.0
2017-06-12,date     ,20170612.0           ,20170612.0           ,20170612.0           ,20170612.0
2017-06-12,date_week,0.0                  ,0.0                  ,0.0                  ,0.0
2017-06-12,key      ,0.0                  ,0.0                  ,0.0                  ,0.0
2017-06-12,atr21    ,1.6299999999999955   ,2.8400000000000603   ,1.7600000000000193   ,0.7800000000000011
2017-06-12,atr14    ,1.6299999999999955   ,2.8400000000000603   ,1.7600000000000193   ,0.7800000000000011
2017-06-13,close    ,118.92               ,122.32               ,95.08                ,80.59
2017-06-13,high     ,119.2                ,122.71               ,95.34                ,80.74
2017-06-13,low      ,117.04               ,121.09               ,93.97                ,80.07
2017-06-13,p_change ,1.476                ,1.2919999999999998   ,1.69                 ,0.524
2017-06-13,open     ,117.2                ,121.24               ,94.0                 ,80.2
2017-06-13,pre_close,117.19               ,120.76               ,93.5                 ,80.17
2017-06-13,volume   ,701659.0             ,3938294.0            ,8700026.0            ,3174361.0
2017-06-13,date     ,20170613.0           ,20170613.0           ,20170613.0           ,20170613.0
2017-06-13,date_week,1.0                  ,1.0                  ,1.0                  ,1.0
2017-06-13,key      ,1.0                  ,1.0                  ,1.0                  ,1.0
2017-06-13,atr21    ,2.0228571428571307   ,2.3738095238095838   ,1.5557142857142972   ,0.7223809523809538
2017-06-13,atr14    ,2.0317857142857023   ,2.3632142857143457   ,1.55107142857144     ,0.72107142857143
2017-06-14,close    ,120.01               ,122.5                ,95.32                ,80.84
2017-06-14,high     ,120.82               ,123.16               ,96.0                 ,80.92
2017-06-14,low      ,118.73               ,121.76               ,94.95                ,79.62
2017-06-14,p_change ,0.917                ,0.147                ,0.252                ,0.31
2017-06-14,open     ,118.74               ,122.85               ,95.32                ,80.11
2017-06-14,pre_close,118.92               ,122.32               ,95.08                ,80.59
2017-06-14,volume   ,737041.0             ,2939755.0            ,6346561.0            ,4013089.0
2017-06-14,date     ,20170614.0           ,20170614.0           ,20170614.0           ,20170614.0
2017-06-14,date_week,2.0                  ,2.0                  ,2.0                  ,2.0
2017-06-14,key      ,2.0                  ,2.0                  ,2.0                  ,2.0
2017-06-14,atr21    ,2.6103625377643307   ,2.383383685800634    ,1.900906344410873    ,0.9335347432024167
2017-06-14,atr14    ,2.6423089983021875   ,2.377266553480504    ,1.9135653650254631   ,0.9422241086587434
2017-06-15,close    ,121.08               ,121.42               ,94.17                ,80.7
2017-06-15,high     ,121.119              ,121.63               ,94.53                ,81.24
2017-06-15,low      ,119.216              ,119.89               ,93.53                ,80.23
2017-06-15,p_change ,0.892                ,-0.882               ,-1.206               ,-0.17300000000000001
2017-06-15,open     ,119.49               ,121.07               ,94.44                ,80.38
2017-06-15,pre_close,120.01               ,122.5                ,95.32                ,80.84
2017-06-15,volume   ,518093.0             ,3492638.0            ,12793864.0           ,2773369.0
2017-06-15,date     ,20170615.0           ,20170615.0           ,20170615.0           ,20170615.0
2017-06-15,date_week,3.0                  ,3.0                  ,3.0                  ,3.0
2017-06-15,key      ,3.0                  ,3.0                  ,3.0                  ,3.0
2017-06-15,atr21    ,2.4923872010342407   ,2.3967528549881765   ,1.8002693385046296   ,0.955464339581984
2017-06-15,atr14    ,2.506688270485841    ,2.3933992023205484   ,1.80234046410442     ,0.9629586656997794
2017-06-16,close    ,122.25               ,121.96               ,94.17                ,81.45
2017-06-16,high     ,122.54               ,122.2                ,94.44                ,81.48
2017-06-16,low      ,121.137              ,120.72               ,93.74                ,80.77
2017-06-16,p_change ,0.966                ,0.445                ,0.0                  ,0.929
2017-06-16,open     ,121.32               ,121.49               ,94.31                ,80.86
2017-06-16,pre_close,121.08               ,121.42               ,94.17                ,80.7
2017-06-16,volume   ,1160001.0            ,3804863.0            ,14590100.0           ,5914676.0
2017-06-16,date     ,20170616.0           ,20170616.0           ,20170616.0           ,20170616.0
2017-06-16,date_week,4.0                  ,4.0                  ,4.0                  ,4.0
2017-06-16,key      ,4.0                  ,4.0                  ,4.0                  ,4.0
2017-06-16,atr21    ,2.501407347954967    ,2.248845719152867    ,1.7474452506920517   ,0.8965980901213737
2017-06-16,atr14    ,2.5127702650470565   ,2.2333642889904985   ,1.7443321772202864   ,0.8969621368679813
2017-06-19,close    ,122.18               ,123.09               ,94.79                ,81.88
2017-06-19,high     ,122.99               ,123.12               ,94.85                ,81.94
2017-06-19,low      ,121.26               ,122.26               ,94.25                ,81.29
2017-06-19,p_change ,-0.057               ,0.927                ,0.6579999999999999   ,0.528
2017-06-19,open     ,122.32               ,122.63               ,94.75                ,81.56
2017-06-19,pre_close,122.25               ,121.96               ,94.17                ,81.45
2017-06-19,volume   ,863369.0             ,2547054.0            ,5984192.0            ,3076499.0
2017-06-19,date     ,20170619.0           ,20170619.0           ,20170619.0           ,20170619.0
2017-06-19,date_week,0.0                  ,0.0                  ,0.0                  ,0.0
2017-06-19,key      ,5.0                  ,5.0                  ,5.0                  ,5.0
2017-06-19,atr21    ,2.3779605371448036   ,2.1342829666092666   ,1.5246331527902506   ,0.9682777382475224
2017-06-19,atr14    ,2.3732999721503227   ,2.109953301555086    ,1.4980646867614795   ,0.9763349825772035
2017-06-20,close    ,121.19               ,122.93               ,94.38                ,82.51
2017-06-20,high     ,122.5                ,123.77               ,94.955               ,82.81
2017-06-20,low      ,121.19               ,122.67               ,94.33                ,81.8
2017-06-20,p_change ,-0.81                ,-0.13                ,-0.433               ,0.769
2017-06-20,open     ,122.12               ,122.89               ,94.79                ,81.98
2017-06-20,pre_close,122.18               ,123.09               ,94.79                ,81.88
2017-06-20,volume   ,548532.0             ,3015269.0            ,5626703.0            ,3929088.0
2017-06-20,date     ,20170620.0           ,20170620.0           ,20170620.0           ,20170620.0
2017-06-20,date_week,1.0                  ,1.0                  ,1.0                  ,1.0
2017-06-20,key      ,6.0                  ,6.0                  ,6.0                  ,6.0
2017-06-20,atr21    ,2.1785378391513994   ,2.0737288713358364   ,1.3865197733866006   ,1.0414249263558062
2017-06-20,atr14    ,2.149240123411082    ,2.046746781160507    ,1.3478068385138438   ,1.0571813364019296
2017-06-21,close    ,118.94               ,123.1                ,94.54                ,82.21
2017-06-21,high     ,121.25               ,123.54               ,94.77                ,82.8
2017-06-21,low      ,118.6                ,122.44               ,94.07                ,81.99
2017-06-21,p_change ,-1.857               ,0.138                ,0.17                 ,-0.364
2017-06-21,open     ,121.25               ,123.54               ,94.61                ,82.6
2017-06-21,pre_close,121.19               ,122.93               ,94.38                ,82.51
2017-06-21,volume   ,892888.0             ,2384118.0            ,5610872.0            ,2683412.0
2017-06-21,date     ,20170621.0           ,20170621.0           ,20170621.0           ,20170621.0
2017-06-21,date_week,2.0                  ,2.0                  ,2.0                  ,2.0
2017-06-21,key      ,7.0                  ,7.0                  ,7.0                  ,7.0
2017-06-21,atr21    ,2.4173521099773505   ,1.9078019152705852   ,1.272942369644209    ,1.0207336754195717
2017-06-21,atr14    ,2.4290756870929098   ,1.8615770517705355   ,1.2250170654614578   ,1.0303506870198818
2017-06-22,close    ,118.72               ,123.4                ,93.96                ,82.28
2017-06-22,high     ,119.42               ,123.5                ,94.48                ,82.62
2017-06-22,low      ,118.35               ,122.33               ,93.88                ,82.08
2017-06-22,p_change ,-0.185               ,0.244                ,-0.613               ,0.085
2017-06-22,open     ,118.64               ,122.97               ,94.48                ,82.08
2017-06-22,pre_close,118.94               ,123.1                ,94.54                ,82.21
2017-06-22,volume   ,722437.0             ,2160617.0            ,5846460.0            ,2311970.0
2017-06-22,date     ,20170622.0           ,20170622.0           ,20170622.0           ,20170622.0
2017-06-22,date_week,3.0                  ,3.0                  ,3.0                  ,3.0
2017-06-22,key      ,8.0                  ,8.0                  ,8.0                  ,8.0
2017-06-22,atr21    ,2.484069207670234    ,1.7913361677272512   ,1.1667150279796772   ,0.9448474440095319
2017-06-22,atr14    ,2.5047364051724985   ,1.7342416405992083   ,1.1099368949788246   ,0.9400657271734467
2017-06-23,close    ,120.06               ,124.01               ,95.58                ,82.22
2017-06-23,high     ,120.67               ,125.0                ,95.65                ,82.7
2017-06-23,low      ,118.62               ,123.12               ,93.89                ,82.06
2017-06-23,p_change ,1.129                ,0.494                ,1.724                ,-0.073
2017-06-23,open     ,118.74               ,123.68               ,94.16                ,82.39
2017-06-23,pre_close,118.72               ,123.4                ,93.96                ,82.28
2017-06-23,volume   ,1298354.0            ,3381548.0            ,11637113.0           ,3785322.0
2017-06-23,date     ,20170623.0           ,20170623.0           ,20170623.0           ,20170623.0
2017-06-23,date_week,4.0                  ,4.0                  ,4.0                  ,4.0
2017-06-23,key      ,9.0                  ,9.0                  ,9.0                  ,9.0
2017-06-23,atr21    ,2.419848512571478    ,1.8074130207205914   ,1.2544917525699573   ,0.899745155232936
2017-06-23,atr14    ,2.4250558317904165   ,1.763286425599251    ,1.22384332594288     ,0.8874871147695823
2017-06-26,close    ,120.62               ,123.52               ,95.22                ,82.96
2017-06-26,high     ,121.52               ,124.58               ,96.265               ,83.285
2017-06-26,low      ,120.44               ,123.19               ,95.099               ,82.44
2017-06-26,p_change ,0.466                ,-0.395               ,-0.377               ,0.9
2017-06-26,open     ,120.89               ,124.17               ,95.8                 ,82.499
2017-06-26,pre_close,120.06               ,124.01               ,95.58                ,82.22
2017-06-26,volume   ,609636.0             ,2377237.0            ,6970841.0            ,2491613.0
2017-06-26,date     ,20170626.0           ,20170626.0           ,20170626.0           ,20170626.0
2017-06-26,date_week,0.0                  ,0.0                  ,0.0                  ,0.0
2017-06-26,key      ,10.0                 ,10.0                 ,10.0                 ,10.0
2017-06-26,atr21    ,2.4730569829804105   ,1.7489891841822935   ,1.4015277075673203   ,0.91447730669989
2017-06-26,atr14    ,2.4881134157944516   ,1.7005076384209066   ,1.405670738065135    ,0.9072502668872899
2017-06-27,close    ,120.42               ,122.74               ,94.9                 ,83.08
2017-06-27,high     ,121.26               ,123.51               ,95.34                ,83.52
2017-06-27,low      ,119.78               ,122.74               ,94.63                ,83.01
2017-06-27,p_change ,-0.166               ,-0.631               ,-0.336               ,0.145
2017-06-27,open     ,120.59               ,123.49               ,95.15                ,83.06
2017-06-27,pre_close,120.62               ,123.52               ,95.22                ,82.96
2017-06-27,volume   ,548382.0             ,2516446.0            ,6283594.0            ,2994829.0
2017-06-27,date     ,20170627.0           ,20170627.0           ,20170627.0           ,20170627.0
2017-06-27,date_week,1.0                  ,1.0                  ,1.0                  ,1.0
2017-06-27,key      ,11.0                 ,11.0                 ,11.0                 ,11.0
2017-06-27,atr21    ,2.3405621330661432   ,1.685081874575232    ,1.3412843410016726   ,0.9659142053499927
2017-06-27,atr14    ,2.3242791639692846   ,1.6305433906084548   ,1.3316170916401535   ,0.9710782624986211
2017-06-28,close    ,122.22               ,124.81               ,96.23                ,83.97
2017-06-28,high     ,122.49               ,124.87               ,96.4                 ,84.265
2017-06-28,low      ,120.44               ,122.57               ,94.66                ,83.4
2017-06-28,p_change ,1.495                ,1.686                ,1.401                ,1.071
2017-06-28,open     ,121.25               ,123.19               ,95.15                ,83.51
2017-06-28,pre_close,120.42               ,122.74               ,94.9                 ,83.08
2017-06-28,volume   ,579426.0             ,2574869.0            ,5571267.0            ,3667871.0
2017-06-28,date     ,20170628.0           ,20170628.0           ,20170628.0           ,20170628.0
2017-06-28,date_week,2.0                  ,2.0                  ,2.0                  ,2.0
2017-06-28,key      ,12.0                 ,12.0                 ,12.0                 ,12.0
2017-06-28,atr21    ,2.30337585292457     ,1.7637793890616478   ,1.3923121608895752   ,1.0093105668057105
2017-06-28,atr14    ,2.2809684053675943   ,1.7362556626748462   ,1.3961038477796408   ,1.0238070354592907
2017-06-29,close    ,121.37               ,121.51               ,94.42                ,83.63
2017-06-29,high     ,122.695              ,124.68               ,95.79                ,85.39
2017-06-29,low      ,120.9                ,121.2                ,94.01                ,83.156
2017-06-29,p_change ,-0.695               ,-2.644               ,-1.881               ,-0.405
2017-06-29,open     ,122.55               ,124.61               ,95.79                ,84.92
2017-06-29,pre_close,122.22               ,124.81               ,96.23                ,83.97
2017-06-29,volume   ,786660.0             ,4147360.0            ,8870532.0            ,5092624.0
2017-06-29,date     ,20170629.0           ,20170629.0           ,20170629.0           ,20170629.0
2017-06-29,date_week,3.0                  ,3.0                  ,3.0                  ,3.0
2017-06-29,key      ,13.0                 ,13.0                 ,13.0                 ,13.0
2017-06-29,atr21    ,2.299874112137787    ,1.9755707219393368   ,1.440155033572927    ,1.1698230014894566
2017-06-29,atr14    ,2.2800485535917954   ,2.0050018731670036   ,1.45526999612109     ,1.222035340941398
2017-06-30,close    ,121.68               ,121.45               ,93.78                ,84.24
2017-06-30,high     ,122.2                ,122.42               ,94.62                ,84.64
2017-06-30,low      ,121.29               ,121.21               ,93.78                ,83.59
2017-06-30,p_change ,0.255                ,-0.049               ,-0.6779999999999999  ,0.7290000000000001
2017-06-30,open     ,121.64               ,121.78               ,94.38                ,84.09
2017-06-30,pre_close,121.37               ,121.51               ,94.42                ,83.63
2017-06-30,volume   ,628633.0             ,3574016.0            ,9036622.0            ,3320821.0
2017-06-30,date     ,20170630.0           ,20170630.0           ,20170630.0           ,20170630.0
2017-06-30,date_week,4.0                  ,4.0                  ,4.0                  ,4.0
2017-06-30,key      ,14.0                 ,14.0                 ,14.0                 ,14.0
2017-06-30,atr21    ,2.136144545425978    ,2.1697251332784875   ,1.5608533352155387   ,1.1555015627950924
2017-06-30,atr14    ,2.0762158538593876   ,2.245817489313215    ,1.6054560776927762   ,1.1960611432725976
2017-07-03,close    ,122.02               ,120.78               ,93.35                ,85.1
2017-07-03,high     ,122.85               ,122.31               ,94.41                ,85.73
2017-07-03,low      ,121.66               ,120.72               ,93.35                ,84.69
2017-07-03,p_change ,0.279                ,-0.552               ,-0.459               ,1.021
2017-07-03,open     ,122.07               ,122.25               ,94.38                ,84.69
2017-07-03,pre_close,121.68               ,121.45               ,93.78                ,84.24
2017-07-03,volume   ,399195.0             ,2314224.0            ,6197656.0            ,2306874.0
2017-07-03,date     ,20170703.0           ,20170703.0           ,20170703.0           ,20170703.0
2017-07-03,date_week,0.0                  ,0.0                  ,0.0                  ,0.0
2017-07-03,key      ,15.0                 ,15.0                 ,15.0                 ,15.0
2017-07-03,atr21    ,2.0599025649812193   ,2.102362853758116    ,1.5038176856081054   ,1.2652493796160487
2017-07-03,atr14    ,1.9877592572847003   ,2.1485181929203314   ,1.5260140066016894   ,1.3301725632560304
2017-07-05,close    ,123.98               ,121.98               ,94.01                ,84.89
2017-07-05,high     ,124.4                ,122.16               ,94.4                 ,85.88
2017-07-05,low      ,121.53               ,121.12               ,93.72                ,84.81
2017-07-05,p_change ,1.606                ,0.994                ,0.7070000000000001   ,-0.247
2017-07-05,open     ,122.25               ,121.14               ,93.75                ,85.22
2017-07-05,pre_close,122.02               ,120.78               ,93.35                ,85.1
2017-07-05,volume   ,820340.0             ,3856490.0            ,9338609.0            ,3501204.0
2017-07-05,date     ,20170705.0           ,20170705.0           ,20170705.0           ,20170705.0
2017-07-05,date_week,2.0                  ,2.0                  ,2.0                  ,2.0
2017-07-05,key      ,16.0                 ,16.0                 ,16.0                 ,16.0
2017-07-05,atr21    ,2.1517117427178634   ,1.9819641759629856   ,1.4104535777229459   ,1.3077202538917445
2017-07-05,atr14    ,2.1167132873298815   ,1.9864899828928464   ,1.4023551113094743   ,1.3754589512590774
2017-07-06,close    ,122.17               ,120.8                ,93.25                ,83.74
2017-07-06,high     ,123.65               ,121.68               ,93.97                ,84.84
2017-07-06,low      ,122.05               ,120.65               ,93.19                ,83.72
2017-07-06,p_change ,-1.46                ,-0.967               ,-0.8079999999999999  ,-1.355
2017-07-06,open     ,123.49               ,121.34               ,93.45                ,84.67
2017-07-06,pre_close,123.98               ,121.98               ,94.01                ,84.89
2017-07-06,volume   ,714751.0             ,2691063.0            ,8215275.0            ,3213448.0
2017-07-06,date     ,20170706.0           ,20170706.0           ,20170706.0           ,20170706.0
2017-07-06,date_week,3.0                  ,3.0                  ,3.0                  ,3.0
2017-07-06,key      ,17.0                 ,17.0                 ,17.0                 ,17.0
2017-07-06,atr21    ,2.093882262058269    ,1.8764430818513544   ,1.3405705369660592   ,1.3157321498055163
2017-07-06,atr14    ,2.0464735137551737   ,1.848454631128698    ,1.3125402588297876   ,1.3761142903337604
