          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2017-06-12,120.76 ,122.09            ,120.2  ,-1.853               ,121.98,123.04   ,6573655 ,20170612,0        ,0  ,2.8400000000000603,2.8400000000000603
2017-06-13,122.32 ,122.71            ,121.09 ,1.2919999999999998   ,121.24,120.76   ,3938294 ,20170613,1        ,1  ,2.3738095238095838,2.3632142857143457
2017-06-14,122.5  ,123.16            ,121.76 ,0.147                ,122.85,122.32   ,2939755 ,20170614,2        ,2  ,2.383383685800634 ,2.377266553480504
2017-06-15,121.42 ,121.63            ,119.89 ,-0.882               ,121.07,122.5    ,3492638 ,20170615,3        ,3  ,2.3967528549881765,2.3933992023205484
2017-06-16,121.96 ,122.2             ,120.72 ,0.445                ,121.49,121.42   ,3804863 ,20170616,4        ,4  ,2.248845719152867 ,2.2333642889904985
2017-06-19,123.09 ,123.12            ,122.26 ,0.927                ,122.63,121.96   ,2547054 ,20170619,0        ,5  ,2.1342829666092666,2.109953301555086
2017-06-20,122.93 ,123.77            ,122.67 ,-0.13                ,122.89,123.09   ,3015269 ,20170620,1        ,6  ,2.0737288713358364,2.046746781160507
2017-06-21,123.1  ,123.54            ,122.44 ,0.138                ,123.54,122.93   ,2384118 ,20170621,2        ,7  ,1.9078019152705852,1.8615770517705355
2017-06-22,123.4  ,123.5             ,122.33 ,0.244                ,122.97,123.1    ,2160617 ,20170622,3        ,8  ,1.7913361677272512,1.7342416405992083
2017-06-23,124.01 ,125.0             ,123.12 ,0.494                ,123.68,123.4    ,3381548 ,20170623,4        ,9  ,1.8074130207205914,1.763286425599251
2017-06-26,123.52 ,124.58            ,123.19 ,-0.395               ,124.17,124.01   ,2377237 ,20170626,0        ,10 ,1.7489891841822935,1.7005076384209066
2017-06-27,122.74 ,123.51            ,122.74 ,-0.631               ,123.49,123.52   ,2516446 ,20170627,1        ,11 ,1.685081874575232 ,1.6305433906084548
2017-06-28,124.81 ,124.87            ,122.57 ,1.686                ,123.19,122.74   ,2574869 ,20170628,2        ,12 ,1.7637793890616478,1.7362556626748462
2017-06-29,121.51 ,124.68            ,121.2  ,-2.644               ,124.61,124.81   ,4147360 ,20170629,3        ,13 ,1.9755707219393368,2.0050018731670036
2017-06-30,121.45 ,122.42            ,121.21 ,-0.049               ,121.78,121.51   ,3574016 ,20170630,4        ,14 ,2.1697251332784875,2.245817489313215
2017-07-03,120.78 ,122.31            ,120.72 ,-0.552               ,122.25,121.45   ,2314224 ,20170703,0        ,15 ,2.102362853758116 ,2.1485181929203314
2017-07-05,121.98 ,122.16            ,121.12 ,0.994                ,121.14,120.78   ,3856490 ,20170705,2        ,16 ,1.9819641759629856,1.9864899828928464
2017-07-06,120.8  ,121.68            ,120.65 ,-0.967               ,121.34,121.98   ,2691063 ,20170706,3        ,17 ,1.8764430818513544,1.848454631128698
2017-07-07,122.2  ,122.72            ,121.07 ,1.159                ,121.39,120.8    ,2119025 ,20170707,4        ,18 ,1.8518334806979613,1.8201258373607723
2017-07-10,122.73 ,123.19            ,121.82 ,0.434                ,122.16,122.2    ,2886891 ,20170710,0        ,19 ,1.909299696536473 ,1.9007150015981176
2017-07-11,124.23 ,124.71            ,122.5  ,1.222                ,122.81,122.73   ,3885719 ,20170711,1        ,20 ,1.9724411565779825,1.986186662600553
2017-07-12,125.28 ,125.75            ,124.6  ,0.845                ,125.0 ,124.23   ,2770351 ,20170712,2        ,21 ,2.081011167385854 ,2.1302112032218767
2017-07-13,125.47 ,126.4             ,125.37 ,0.152                ,125.62,125.28   ,3330947 ,20170713,3        ,22 ,2.090118107561864 ,2.1357213807883975
2017-07-14,127.01 ,127.53            ,125.56 ,1.227                ,125.56,125.47   ,2690807 ,20170714,4        ,23 ,2.106295215626304 ,2.1514662077672346
2017-07-17,127.43 ,127.58            ,126.54 ,0.331                ,127.26,127.01   ,2291720 ,20170717,0        ,24 ,2.1066662601284207,2.1457784359334684
