          ,close  ,high   ,low    ,p_change,open   ,pre_close,volume ,date    ,date_week,atr21             ,atr14             ,key
2017-06-12,117.19 ,117.22 ,115.59 ,0.317   ,116.55 ,116.82   ,588580 ,20170612,0        ,1.6299999999999955,1.6299999999999955,0
2017-06-13,118.92 ,119.2  ,117.04 ,1.476   ,117.2  ,117.19   ,701659 ,20170613,1        ,2.0228571428571307,2.0317857142857023,1
2017-06-14,120.01 ,120.82 ,118.73 ,0.917   ,118.74 ,118.92   ,737041 ,20170614,2        ,2.6103625377643307,2.6423089983021875,2
2017-06-15,121.08 ,121.119,119.216,0.892   ,119.49 ,120.01   ,518093 ,20170615,3        ,2.4923872010342407,2.506688270485841 ,3
2017-06-16,122.25 ,122.54 ,121.137,0.966   ,121.32 ,121.08   ,1160001,20170616,4        ,2.501407347954967 ,2.5127702650470565,4
2017-06-19,122.18 ,122.99 ,121.26 ,-0.057  ,122.32 ,122.25   ,863369 ,20170619,0        ,2.3779605371448036,2.3732999721503227,5
2017-06-20,121.19 ,122.5  ,121.19 ,-0.81   ,122.12 ,122.18   ,548532 ,20170620,1        ,2.1785378391513994,2.149240123411082 ,6
2017-06-21,118.94 ,121.25 ,118.6  ,-1.857  ,121.25 ,121.19   ,892888 ,20170621,2        ,2.4173521099773505,2.4290756870929098,7
2017-06-22,118.72 ,119.42 ,118.35 ,-0.185  ,118.64 ,118.94   ,722437 ,20170622,3        ,2.484069207670234 ,2.5047364051724985,8
2017-06-23,120.06 ,120.67 ,118.62 ,1.129   ,118.74 ,118.72   ,1298354,20170623,4        ,2.419848512571478 ,2.4250558317904165,9
2017-06-26,120.62 ,121.52 ,120.44 ,0.466   ,120.89 ,120.06   ,609636 ,20170626,0        ,2.4730569829804105,2.4881134157944516,10
2017-06-27,120.42 ,121.26 ,119.78 ,-0.166  ,120.59 ,120.62   ,548382 ,20170627,1        ,2.3405621330661432,2.3242791639692846,11
2017-06-28,122.22 ,122.49 ,120.44 ,1.495   ,121.25 ,120.42   ,579426 ,20170628,2        ,2.30337585292457  ,2.2809684053675943,12
2017-06-29,121.37 ,122.695,120.9  ,-0.695  ,122.55 ,122.22   ,786660 ,20170629,3        ,2.299874112137787 ,2.2800485535917954,13
2017-06-30,121.68 ,122.2  ,121.29 ,0.255   ,121.64 ,121.37   ,628633 ,20170630,4        ,2.136144545425978 ,2.0762158538593876,14
2017-07-03,122.02 ,122.85 ,121.66 ,0.279   ,122.07 ,121.68   ,399195 ,20170703,0        ,2.0599025649812193,1.9877592572847003,15
2017-07-05,123.98 ,124.4  ,121.53 ,1.606   ,122.25 ,122.02   ,820340 ,20170705,2        ,2.1517117427178634,2.1167132873298815,16
